"k";"m";"nword";"count1";"count2";"count3";"clock span"
60;1000000;6622;12000001;77230;1000460;420
70;1000000;6622;12000000;77053;1000461;478
70;1000000;6622;12000001;77506;1000462;480
70;1000000;6622;12000001;77331;1000463;477
70;1000000;6622;12000000;77326;1000464;480
70;1000000;6622;12000001;77153;1000465;481
70;1000000;6622;12000001;77310;1000466;488
70;1000000;6622;12000000;77139;1000467;488
70;1000000;6622;12000001;77134;1000468;479
70;1000000;6622;12000001;76965;1000469;480
70;1000000;6622;12000001;77266;1000470;480
80;1000000;6622;12000001;77099;1000471;560
80;1000000;6622;12000001;77094;1000472;542
80;1000000;6622;12000001;76929;1000473;549
80;1000000;6622;12000000;77078;1000474;550
80;1000000;6622;12000001;76915;1000475;547
80;1000000;6622;12000001;76910;1000476;549
80;1000000;6622;12000000;76749;1000477;549
80;1000000;6622;12000001;77218;1000478;551
80;1000000;6622;12000001;77059;1000479;550
80;1000000;6622;12000000;77054;1000480;549
90;1000000;6622;12000001;76897;1000481;606
90;1000000;6622;12000001;77038;1000482;605
90;1000000;6622;12000001;76883;1000483;606
90;1000000;6622;12000001;76878;1000484;607
90;1000000;6622;12000001;76725;1000485;609
90;1000000;6622;12000001;76994;1000486;607
90;1000000;6622;12000000;76843;1000487;606
90;1000000;6622;12000001;76838;1000488;607
90;1000000;6622;12000001;76689;1000489;610
90;1000000;6622;12000000;76822;1000490;606
100;1000000;6622;12000001;76675;1000491;684
100;1000000;6622;12000001;76670;1000492;683
100;1000000;6622;12000000;76525;1000493;681
100;1000000;6622;12000001;76946;1000494;680
100;1000000;6622;12000001;76803;1000495;681
100;1000000;6622;12000001;76798;1000496;684
100;1000000;6622;12000001;76657;1000497;682
100;1000000;6622;12000001;76782;1000498;681
100;1000000;6622;12000001;76643;1000499;682
100;1000000;6622;12000000;76638;1000500;681
110;1000000;6622;12000001;76501;1000501;741
110;1000000;6622;12000001;76738;1000502;741
110;1000000;6622;12000000;76603;1000503;742
110;1000000;6622;12000001;76598;1000504;743
110;1000000;6622;12000001;76465;1000505;741
110;1000000;6622;12000000;76582;1000506;741
110;1000000;6622;12000001;76451;1000507;743
110;1000000;6622;12000001;76446;1000508;743
110;1000000;6622;12000001;76317;1000509;744
110;1000000;6622;12000001;76690;1000510;741
120;1000000;6622;12000001;76563;1000511;799
