date;input;n;k;m;i;count1;count2;count3;count;usr;sys;time
2015-12-29 10:37:58.015448797+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;10;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.056175175+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;11;1387074;84554;95695;1567323;0.02;0;0.03
2015-12-29 10:37:58.096747990+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;12;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.137950581+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;13;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.179028130+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;14;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.219663202+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;15;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.264398438+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;16;1387074;84554;95695;1567323;0.02;0;0.03
2015-12-29 10:37:58.305128971+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;17;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.346945527+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;18;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.388248823+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;19;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.428895119+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;20;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.470192803+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;1;1387074;84554;95695;1567323;0.02;0;0.03
2015-12-29 10:37:58.511469161+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;2;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.552308900+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;3;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.593182242+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;4;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.633708884+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;5;1387074;84554;95695;1567323;0.02;0;0.03
2015-12-29 10:37:58.674256271+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;6;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.715173847+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;7;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.756577886+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;8;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.797227150+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;9;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.838497074+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;10;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.880006286+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;11;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:58.920450551+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;12;1387074;84554;95695;1567323;0.02;0;0.03
2015-12-29 10:37:58.961161040+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;13;1387074;84554;95695;1567323;0.03;0;0.03
2015-12-29 10:37:59.001654044+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;14;1387074;1656984;1807874;4851932;0.1;0;0.11
2015-12-29 10:37:59.124534783+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;15;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.249147718+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;16;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.372898981+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;17;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.494761038+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;18;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.616383869+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;19;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.739045693+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100000;20;1387074;1656984;1807874;4851932;0.11;0;0.11
2015-12-29 10:37:59.864960730+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;1;1387074;1746183;1908464;5041721;0.11;0;0.11
2015-12-29 10:37:59.991928833+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;2;1387074;1746183;1908464;5041721;0.12;0;0.12
2015-12-29 10:38:00.120747498+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;3;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:00.208377151+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;4;1387074;995012;1093970;3476056;0.08;0;0.08
2015-12-29 10:38:00.297386734+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;5;1387074;995012;1093970;3476056;0.08;0;0.08
2015-12-29 10:38:00.385998201+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;6;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:00.473637568+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;7;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:00.561520479+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;8;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:00.649669374+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;9;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:00.737720136+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;10;1387074;995012;1093970;3476056;0.07;0;0.08
2015-12-29 10:38:00.825895235+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;11;1387074;995012;1093970;3476056;0.08;0;0.08
2015-12-29 10:38:00.915215381+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;12;1387074;995012;1093970;3476056;0.07;0;0.07
2015-12-29 10:38:01.003339468+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;13;1387074;2539003;2821859;6747936;0.16;0;0.16
2015-12-29 10:38:01.174902125+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;14;1387074;2539003;2821859;6747936;0.16;0;0.16
2015-12-29 10:38:01.345981700+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;15;1387074;2539003;2821859;6747936;0.16;0;0.16
2015-12-29 10:38:01.516046692+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;16;1387074;2539003;2821859;6747936;0.15;0;0.15
2015-12-29 10:38:01.684106135+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;17;1387074;2539003;2821859;6747936;0.16;0;0.16
2015-12-29 10:38:01.855434467+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;18;1387074;2539003;2821859;6747936;0.15;0;0.15
2015-12-29 10:38:02.023382744+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;19;1387074;677637;730616;2795327;0.06;0;0.06
2015-12-29 10:38:02.095232593+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000000;20;1387074;677637;730616;2795327;0.06;0;0.06
2015-12-29 10:38:02.169814327+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;1;1387071;1650;269;1388990;0.02;0;0.03
2015-12-29 10:38:02.208628235+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;2;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.246288135+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;3;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.285276865+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;4;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.322938740+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;5;1387071;1650;269;1388990;0.02;0;0.03
2015-12-29 10:38:02.361210349+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;6;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.398770631+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;7;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.436339861+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;8;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.473804441+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;9;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.511423581+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;10;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.548943812+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;11;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.586652166+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;12;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.624731317+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;13;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.662355336+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;14;1387071;1650;269;1388990;0.02;0;0.03
2015-12-29 10:38:02.700709378+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;15;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.738299712+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;16;1387071;1650;269;1388990;0.02;0;0.03
2015-12-29 10:38:02.776636197+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;17;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.814199913+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;18;1387071;1650;269;1388990;0.02;0;0.03
2015-12-29 10:38:02.853023442+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;19;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.891277853+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100;20;1387071;1650;269;1388990;0.02;0;0.02
2015-12-29 10:38:02.929476309+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;1;1387071;16546;2472;1406089;0.02;0;0.03
2015-12-29 10:38:02.969376860+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;2;1387071;16546;2472;1406089;0.02;0;0.03
2015-12-29 10:38:03.007514943+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;3;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.045774111+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;4;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.084318091+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;5;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.122638726+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;6;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.161251591+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;7;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.199616026+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;8;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.238396831+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;9;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.277836067+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;10;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.316302711+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;11;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.354643165+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;12;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.393160264+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;13;1387071;16574;2686;1406331;0.02;0;0.02
2015-12-29 10:38:03.431083420+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;14;1387071;16574;2686;1406331;0.02;0;0.02
2015-12-29 10:38:03.469086073+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;15;1387071;16574;2686;1406331;0.02;0;0.03
