"k";"m";"n";"count1";"count2";"count3";"time"
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
2;10000;26046;147284;439917;50824;27
2;10000;26046;85674;439917;27423;24
2;10000;26046;147329;439917;50072;27
2;10000;26046;131527;439917;45166;28
2;10000;26046;147303;439917;48863;28
2;10000;26046;147387;439917;48211;28
2;10000;26046;76312;439917;26382;27
2;10000;26046;147282;439917;49362;28
2;10000;26046;30587;439917;11029;21
2;10000;26046;147368;439917;50380;29
2;100000;26046;72570;439917;23736;24
2;100000;26046;333464;439917;110754;38
2;100000;26046;1473812;439917;502685;99
2;100000;26046;13311;439917;4382;21
2;100000;26046;334798;439917;111577;38
2;100000;26046;475175;439917;162963;45
2;100000;26046;136452;439917;44394;27
2;100000;26046;467953;439917;159157;54
2;100000;26046;275605;439917;94507;34
2;100000;26046;455768;439917;156929;44
2;1000000;26046;147966;439917;51473;28
2;1000000;26046;77522;439917;26425;24
2;1000000;26046;7774;439917;2829;20
2;1000000;26046;175494;439917;57668;29
2;1000000;26046;96573;439917;32139;26
2;1000000;26046;168839;439917;57554;29
2;1000000;26046;147478;439917;49993;28
2;1000000;26046;140532;439917;49130;27
2;1000000;26046;556830;439917;186955;52
2;1000000;26046;10720;439917;3659;21
2;10000000;26046;167589;439917;57747;28
2;10000000;26046;1024536;439917;354311;75
2;10000000;26046;67487;439917;23056;23
2;10000000;26046;81844;439917;28816;25
2;10000000;26046;222984;439917;75614;32
2;10000000;26046;715951;439917;245597;59
2;10000000;26046;1373049;439917;467954;92
2;10000000;26046;489432;439917;165762;47
2;10000000;26046;209075;439917;70068;31
2;10000000;26046;20440;439917;6895;21
2;100000000;26046;279720;439917;93419;34
2;100000000;26046;1110742;439917;374785;79
2;100000000;26046;739353;439917;249304;60
2;100000000;26046;498782;439917;167278;46
2;100000000;26046;335917;439917;114903;37
2;100000000;26046;473699;439917;164956;45
2;100000000;26046;60963;439917;20069;22
2;100000000;26046;240397;439917;81153;34
